,id,retweet_count,favorite_count
298,null,null,null
299,836989968035819520,2554,13673
300,836753516572119041,5123,20707
301,836677758902222849,2463,13563
302,836648853927522308,614,0
303,836397794269200385,30662,0
304,836380477523124226,3266,15833
305,836260088725786625,4761,22848
306,836001077879255040,4812,20584
307,835685285446955009,9121,0
308,835574547218894849,4033,19172
309,835536468978302976,1892,0
310,835309094223372289,23448,0
311,835297930240217089,3322,17627
312,835264098648616962,1892,8364
313,835246439529840640,81,2237
314,835172783151792128,6392,28133
315,835152434251116546,3372,24189
316,834931633769889797,1836,11668
317,834786237630337024,6060,22680
318,834574053763584002,2819,14776
319,834477809192075265,11894,0
320,834458053273591808,1865,10363
321,834209720923721728,5338,22222
322,834167344700198914,4039,16963
323,834089966724603904,2370,10831
324,834086379323871233,2463,14078
325,833863086058651648,2672,14452
326,833826103416520705,3835,16516
327,833732339549220864,242,0
328,833722901757046785,3570,22273
329,833479644947025920,2298,16012
330,833124694597443584,5411,21814
331,832998151111966721,2475,14360
332,832769181346996225,44,0
333,832757312314028032,4034,18166
334,832682457690300417,3294,12829
335,832645525019123713,579,3145
336,832636094638288896,3137,17130
337,832397543355072512,2487,12928
338,832369877331693569,3567,18534
339,832273440279240704,2610,12194
340,832215909146226688,6915,0
341,832215726631055365,10467,0
342,832088576586297345,2,72
343,832040443403784192,10863,0
344,832032802820481025,5216,19304
345,831939777352105988,6874,25957
346,831926988323639298,37,366
347,831911600680497154,7296,29904
348,831670449226514432,2025,11305
349,831650051525054464,2186,7762
350,831552930092285952,2563,9738
351,831322785565769729,1708,9912
352,831315979191906304,1242,7014
353,831309418084069378,2721,12644
